FILE, UNCOMPRESSED, COMPRESSED, CLASS
"gutenberg/10.txt.utf-8", 4452069,680932, LITERATURE
"gutenberg/10609.txt.utf-8", 1328004,281647, LITERATURE
"gutenberg/108.txt.utf-8", 641720,143925, LITERATURE
"gutenberg/1080.txt.utf-8", 39698,10649, LITERATURE
"gutenberg/11.txt.utf-8", 167518,38913, LITERATURE
"gutenberg/1184.txt.utf-8", 2685981,546855, LITERATURE
"gutenberg/119.txt.utf-8", 914205,219106, LITERATURE
"gutenberg/12.txt.utf-8", 185936,43325, LITERATURE
"gutenberg/120.txt.utf-8", 391563,93950, LITERATURE
"gutenberg/1228.txt.utf-8", 970783,174528, LITERATURE
"gutenberg/1232.txt.utf-8", 305864,68579, LITERATURE
"gutenberg/1260.txt.utf-8", 1070330,255225, LITERATURE
"gutenberg/1322.txt.utf-8", 775617,181019, LITERATURE
"gutenberg/1342.txt.utf-8", 717569,148815, LITERATURE
"gutenberg/135.txt.utf-8", 3322651,699058, LITERATURE
"gutenberg/140.txt.utf-8", 843093,187758, LITERATURE
"gutenberg/1400.txt.utf-8", 1033768,230242, LITERATURE
"gutenberg/145.txt.utf-8", 1847693,395475, LITERATURE
"gutenberg/1497.txt.utf-8", 1238961,250517, LITERATURE
"gutenberg/15399.txt.utf-8", 479239,107246, LITERATURE
"gutenberg/15532.txt.utf-8", 474675,109499, LITERATURE
"gutenberg/158.txt.utf-8", 918935,192333, LITERATURE
"gutenberg/16.txt.utf-8", 284806,68023, LITERATURE
"gutenberg/160.txt.utf-8", 386707,90980, LITERATURE
"gutenberg/161.txt.utf-8", 706115,147798, LITERATURE
"gutenberg/16328.txt.utf-8", 301063,67952, LITERATURE
"gutenberg/1661.txt.utf-8", 594933,135716, LITERATURE
"gutenberg/1727.txt.utf-8", 709390,151729, LITERATURE
"gutenberg/174.txt.utf-8", 461898,105687, LITERATURE
"gutenberg/17405.txt.utf-8", 88507,20739, LITERATURE
"gutenberg/1837.txt.utf-8", 425629,105497, LITERATURE
"gutenberg/1952.txt.utf-8", 52081,13879, LITERATURE
"gutenberg/19942.txt.utf-8", 229736,56160, LITERATURE
"gutenberg/20776.txt.utf-8", 836583,124048, LITERATURE
"gutenberg/21279.txt.utf-8", 35277,9463, LITERATURE
"gutenberg/2148.txt.utf-8", 579844,139041, LITERATURE
"gutenberg/215.txt.utf-8", 198520,49798, LITERATURE
"gutenberg/21700.txt.utf-8", 832820,194240, LITERATURE
"gutenberg/219.txt.utf-8", 233503,60428, LITERATURE
"gutenberg/22381.txt.utf-8", 676167,143337, LITERATURE
"gutenberg/22657.txt.utf-8", 1032046,157906, LITERATURE
"gutenberg/23.txt.utf-8", 248369,59979, LITERATURE
"gutenberg/236.txt.utf-8", 298778,70296, LITERATURE
"gutenberg/2397.txt.utf-8", 774381,170783, LITERATURE
"gutenberg/2413.txt.utf-8", 685249,161222, LITERATURE
"gutenberg/244.txt.utf-8", 267468,66383, LITERATURE
"gutenberg/245.txt.utf-8", 842799,203312, LITERATURE
"gutenberg/2500.txt.utf-8", 241175,53682, LITERATURE
"gutenberg/2542.txt.utf-8", 165567,37037, LITERATURE
"gutenberg/2554.txt.utf-8", 1177120,249553, LITERATURE
"gutenberg/2591.txt.utf-8", 549746,113640, LITERATURE
"gutenberg/2600.txt.utf-8", 3291644,664348, LITERATURE
"gutenberg/2701.txt.utf-8", 1257275,306673, LITERATURE
"gutenberg/27827.txt.utf-8", 359508,72991, LITERATURE
"gutenberg/2814.txt.utf-8", 398340,94586, LITERATURE
"gutenberg/2852.txt.utf-8", 346333,80307, LITERATURE
"gutenberg/30254.txt.utf-8", 1069646,220355, LITERATURE
